,id_cliente,churn,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte,streaming_tv,streaming_filmes,contrato,fatura_online,forma_pagamento,cobranca_diaria,cobranca_mensal,cobranca_total
10,0017-DINOC,No,Male,No,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),1.5066666666666668,45.2,2460.55
11,0017-IUDMW,No,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3.893333333333333,116.8,8456.75
12,0018-NYROU,No,Female,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.2983333333333333,68.95,351.5
13,0019-EFAEP,No,Female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),3.3766666666666665,101.3,7261.25
14,0019-GFNTW,No,Female,No,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),1.5016666666666665,45.05,2560.1
15,0020-INWCK,No,Female,No,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),3.191666666666667,95.75,6849.4
16,0020-JDNXP,No,Female,No,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,2.0416666666666665,61.25,1993.2
17,0021-IKXGC,No,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.4033333333333333,72.1,72.1
18,0022-TCJCI,Yes,Male,Yes,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),2.0900000000000003,62.7,2791.5
19,0023-HGHWL,Yes,Male,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.8366666666666667,25.1,25.1
20,0023-UYUPN,No,Female,Yes,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,0.84,25.2,1306.3
21,0023-XUOPT,Yes,Female,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,3.1366666666666663,94.1,1215.6
22,0027-KWYKW,No,Female,No,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2.7916666666666665,83.75,1849.95
23,0030-FNXPP,No,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6616666666666667,19.85,57.2
24,0031-PVLZI,Yes,Female,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6783333333333333,20.35,76.35
25,0032-PGELS,Yes,Female,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1.0166666666666666,30.5,30.5
26,0036-IHMOT,No,Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),3.4566666666666666,103.7,5656.75
27,0040-HALCW,No,Male,No,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.6799999999999999,20.4,1090.6
28,0042-JVWOJ,No,Male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0.6533333333333334,19.6,471.85
29,0042-RLHYP,No,Female,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.6566666666666666,19.7,1396.9
30,0047-ZHDTW,undefined,Female,No,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2.6333333333333333,79.0,929.3
31,0048-LUMLS,No,Male,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),3.04,91.2,3247.55
32,0048-PIHNL,No,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.6816666666666666,20.45,900.9
33,0052-DCKON,No,Male,No,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),3.86,115.8,7942.15
34,0052-YNYOT,No,Female,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,0.685,20.55,1343.4
35,0056-EPFBG,No,Male,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.3133333333333332,39.4,825.4
36,0057-QBUQH,No,Female,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,0.8366666666666667,25.1,1070.15
37,0058-EVZWM,No,Female,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),2.993333333333333,89.8,4959.6
38,0060-FUALY,No,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3.158333333333333,94.75,5597.65
39,0064-SUDOG,No,Female,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.6766666666666666,20.3,224.5
40,0064-YIJGF,No,Male,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2.525,75.75,1929.0
41,0067-DKWBL,Yes,Male,Yes,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.6416666666666666,49.25,91.1
42,0068-FIGTF,No,Female,No,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,2.606666666666667,78.2,2078.95
43,0071-NDAFP,No,Male,No,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.85,25.5,630.6
44,0074-HDKDG,No,Male,No,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),2.0533333333333332,61.6,1611.0
45,0076-LVEPS,No,Male,No,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,1.5,45.0,1242.45
46,0078-XZMHT,No,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),2.8383333333333334,85.15,6316.2
47,0080-EMYVY,No,Female,No,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),1.715,51.45,727.85
48,0080-OROZO,No,Female,No,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,3.308333333333333,99.25,3532.0
49,0082-LDZUE,No,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1.4766666666666666,44.3,44.3
50,0082-OQIQY,No,Male,No,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3.14,94.2,2607.6
51,0083-PIVIK,No,Male,No,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,2.7083333333333335,81.25,5567.55
52,0089-IIQKO,No,Female,No,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),3.3316666666666666,99.95,3767.4
53,0093-EXYQL,No,Female,Yes,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.0516666666666667,91.55,3673.6
54,0093-XWZFY,Yes,Male,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),3.4833333333333334,104.5,4036.85
55,0094-OIFMO,Yes,Female,Yes,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.1666666666666665,95.0,1120.3
56,0096-BXERS,No,Female,No,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1.6783333333333335,50.35,314.55
57,0096-FCPUF,No,Male,No,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,2.15,64.5,1888.45
58,0098-BOWSO,No,Male,No,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,0.6466666666666666,19.4,529.8
59,0100-DUVFC,No,Male,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,3.493333333333333,104.8,7308.95
60,0103-CSITQ,No,Female,No,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),3.646666666666667,109.4,6252.7
61,0104-PPXDV,No,Male,No,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),1.6766666666666665,50.3,2878.55
62,0106-GHRQR,No,Male,No,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),2.3800000000000003,71.4,1212.1
63,0106-UGRDO,No,Female,No,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,3.8666666666666667,116.0,8182.85
64,0107-WESLM,Yes,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,0.6616666666666667,19.85,19.85
65,0107-YHINA,Yes,Male,No,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.325,99.75,99.75
66,0111-KLBQG,No,Male,Yes,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,3.131666666666667,93.95,2861.45
67,0112-QAWRZ,No,Male,No,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3.0266666666666664,90.8,1442.2
68,0112-QWPNC,Yes,Male,No,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,2.8116666666666665,84.35,4059.35
69,0114-IGABW,No,Female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),1.9416666666666667,58.25,4145.9
70,0114-PEGZZ,No,Female,No,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,3.585,107.55,3645.5
71,0114-RSRRW,No,Female,No,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),0.6649999999999999,19.95,187.75
72,0115-TFERT,Yes,Male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3.7066666666666666,111.2,2317.1
73,0117-LFRMW,Yes,Male,No,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),1.34,40.2,1448.8
74,0118-JPNOY,No,Female,Yes,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2.86,85.8,2193.65
75,0120-YZLQA,undefined,Male,No,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.6633333333333333,19.9,1355.1
76,0121-SNYRK,No,Male,No,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,1.18,35.4,1748.9
77,0122-OAHPZ,Yes,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2.4616666666666664,73.85,511.25
78,0123-CRBRT,No,Female,No,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,2.9366666666666665,88.1,5526.75
79,0125-LZQXK,Yes,Male,No,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3.378333333333333,101.35,1553.95
80,0128-MKWSG,No,Female,No,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,1.5266666666666666,45.8,1147.0
81,0129-KPTWJ,No,Male,No,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.1550000000000002,94.65,6747.35
82,0129-QMPDR,No,Male,No,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0.6833333333333333,20.5,865.05
83,0130-SXOUN,No,Male,No,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),2.98,89.4,5976.9
84,0133-BMFZO,Yes,Female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,2.875,86.25,181.65
85,0134-XWXCE,No,Female,Yes,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),2.4949999999999997,74.85,3268.05
86,0135-NMXAP,Yes,Female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),2.9916666666666667,89.75,1052.4
87,0136-IFMYD,No,Male,Yes,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,3.665,109.95,7634.25
88,0137-OCGAB,Yes,Female,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2.6733333333333333,80.2,80.2
89,0137-UDEUO,Yes,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6616666666666667,19.85,63.75
90,0139-IVFJG,No,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,3.0116666666666663,90.35,190.5
91,0141-YEAYS,No,Female,Yes,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2.881666666666667,86.45,2401.05
92,0142-GVYSN,No,Male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,0.6766666666666666,20.3,511.25
93,0147-ESWWR,No,Female,Yes,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3.375,101.25,3949.15
94,0148-DCDOS,Yes,Male,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),3.1566666666666667,94.7,2362.1
95,0151-ONTOV,Yes,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,2.3633333333333337,70.9,70.9
96,0154-QYHJU,undefined,Male,No,No,No,29,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,1.9583333333333333,58.75,1696.2
97,0156-FVPTA,Yes,Male,No,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,1.8066666666666669,54.2,1152.7
98,0162-RZGMZ,undefined,Female,Yes,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),1.9966666666666666,59.9,287.85
99,0164-APGRB,No,Female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,3.83,114.9,8496.7
100,0164-XAIRP,No,Female,No,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.6516666666666667,19.55,470.2
101,0168-XZKBB,No,Female,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2.895,86.85,1564.4
102,0174-QRVVY,No,Male,No,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.8450000000000001,25.35,1847.55
103,0177-PXBAT,No,Male,Yes,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),3.6633333333333336,109.9,3694.7
104,0178-CIIKR,No,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6649999999999999,19.95,58.0
105,0178-SZBHO,No,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,2.9066666666666667,87.2,4017.45
106,0181-RITDD,No,Male,No,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,3.605,108.15,6825.65
107,0186-CAERR,No,Male,No,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),3.8766666666666665,116.3,8309.55
108,0187-QSXOE,No,Male,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2.966666666666667,89.0,605.45
109,0187-WZNAB,No,Female,No,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,2.48,74.4,1972.35
110,0188-GWFLE,No,Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.6683333333333333,20.05,33.7
111,0191-EQUUH,No,Female,No,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),1.1683333333333332,35.05,844.45
112,0191-ZHSKZ,No,Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2.4916666666666667,74.75,2111.3
113,0193-ESZXP,Yes,Female,Yes,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),3.5166666666666666,105.5,6205.5
114,0195-IESCP,Yes,Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2.841666666666667,85.25,855.3
115,0196-JTUQI,No,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2.506666666666667,75.2,633.85
116,0196-VULGZ,Yes,Female,Yes,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2.8116666666666665,84.35,474.9
117,0197-PNKNK,No,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),2.815,84.45,5848.6
118,0201-MIBOL,No,Female,Yes,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),3.4133333333333336,102.4,6471.85
119,0201-OAMXR,Yes,Female,No,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),3.8516666666666666,115.55,8127.6
120,0203-HHYIJ,Yes,Male,No,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.8433333333333334,25.3,676.35
121,0206-OYVOC,No,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.6416666666666667,19.25,864.2
122,0206-TBWLC,No,Female,No,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,3.8216666666666668,114.65,6049.5
123,0207-MDKNV,Yes,Female,No,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,3.503333333333333,105.1,1582.75
124,0208-BPQEJ,No,Female,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.6466666666666666,19.4,198.1
125,0212-ISBBF,No,Female,No,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.6783333333333335,50.35,1098.85
126,0214-JHPFW,No,Female,No,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),1.9266666666666665,57.8,4039.3
127,0215-BQKGS,No,Male,No,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),2.81,84.3,2438.6
128,0218-QNVAS,No,Male,No,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),3.3516666666666666,100.55,7113.75
129,0219-QAERP,No,Male,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0.66,19.8,576.65
130,0219-YTZUE,Yes,Male,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2.8266666666666667,84.8,371.9
131,0220-EBGCE,Yes,Male,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2.8616666666666664,85.85,167.3
132,0221-NAUXK,No,Male,No,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0.6649999999999999,19.95,219.5
133,0221-WMXNQ,No,Male,Yes,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,2.5116666666666663,75.35,273.4
134,0222-CNVPT,No,Male,Yes,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.6266666666666665,48.8,2555.05
135,0224-HJAPT,Yes,Male,No,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1.5716666666666665,47.15,223.15
136,0224-NIJLP,No,Male,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.6716666666666666,20.15,165.5
137,0224-RLWWD,No,Female,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.4766666666666666,44.3,89.3
138,0225-ZORZP,No,Male,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,2.81,84.3,235.05
139,0228-MAUWC,No,Male,No,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,1.9849999999999999,59.55,1144.6
140,0229-LFJAF,No,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),2.3216666666666668,69.65,4908.25
141,0230-UBYPQ,No,Male,Yes,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),1.2033333333333334,36.1,2298.9
142,0230-WEQUW,No,Male,No,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),1.8866666666666667,56.6,3789.2
143,0231-LXVAP,Yes,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,2.5300000000000002,75.9,75.9
144,0233-FTHAV,No,Female,No,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),2.64,79.2,4765.0
145,0234-TEVTT,No,Female,No,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),1.5,45.0,2196.3
146,0235-KGSLC,Yes,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2.8516666666666666,85.55,85.55
147,0236-HFWSV,Yes,Male,No,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3.1116666666666664,93.35,1444.65
148,0237-YFUTL,No,Female,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),3.6550000000000002,109.65,5405.8
